iter	Passed	Remaining
655	1658	869
656	1660	866
657	1662	863
658	1664	861
659	1666	858
660	1668	855
661	1671	853
662	1674	851
663	1677	848
664	1680	846
665	1682	843
666	1684	841
667	1687	838
668	1689	835
669	1691	833
670	1693	830
671	1695	827
672	1697	824
673	1698	821
674	1701	819
675	1704	816
676	1706	814
677	1709	811
678	1711	809
679	1714	806
680	1717	804
681	1719	801
682	1722	799
683	1725	796
684	1728	794
685	1731	792
686	1734	790
687	1736	787
688	1738	784
689	1740	781
690	1742	779
691	1744	776
692	1746	773
693	1748	771
694	1750	768
695	1752	765
696	1754	762
697	1756	759
698	1758	757
699	1760	754
700	1762	751
701	1764	749
702	1766	746
703	1768	743
704	1770	740
705	1771	737
706	1773	735
707	1775	732
708	1777	729
709	1779	726
710	1781	723
711	1782	721
712	1784	718
713	1785	715
714	1787	712
715	1789	709
716	1791	707
717	1792	704
718	1794	701
719	1795	698
720	1797	695
721	1799	692
722	1801	690
723	1802	687
724	1804	684
725	1806	681
726	1808	679
727	1810	676
728	1811	673
729	1813	670
730	1815	668
731	1817	665
732	1819	662
733	1823	660
734	1825	658
735	1828	655
736	1830	653
737	1833	650
738	1836	648
739	1838	645
740	1840	643
741	1842	640
742	1844	637
743	1846	635
744	1850	633
745	1853	631
746	1857	628
747	1859	626
748	1861	623
749	1867	622
750	1869	619
751	1871	617
752	1873	614
753	1876	612
754	1879	609
755	1881	607
756	1885	605
757	1888	602
758	1890	600
759	1896	598
760	1898	596
761	1900	593
762	1902	591
763	1904	588
764	1906	585
765	1911	583
766	1914	581
767	1916	579
768	1920	576
769	1923	574
770	1925	571
771	1927	569
772	1930	566
773	1932	564
774	1934	561
775	1937	559
776	1941	557
777	1944	554
778	1946	552
779	1949	549
780	1951	547
781	1954	544
782	1956	542
783	1958	539
784	1960	536
785	1962	534
786	1964	531
787	1966	528
788	1968	526
789	1970	523
790	1973	521
791	1975	518
792	1978	516
793	1980	513
794	1981	511
795	1984	508
796	1986	506
797	1988	503
798	1990	500
799	1992	498
800	1994	495
801	1996	492
802	1998	490
803	2000	487
804	2003	485
805	2007	483
806	2009	480
807	2011	477
808	2013	475
809	2015	472
810	2017	470
811	2019	467
812	2022	465
813	2024	462
814	2026	459
815	2028	457
816	2031	455
817	2034	452
